,Ind_ID,GENDER,Car_Owner,Propert_Owner,CHILDREN,Annual_income,Type_Income,EDUCATION,Marital_status,Housing_type,Employed_days,Type_Occupation,Family_Members,label,Age
53,5051161,M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-0.23726027397260271,Laborers,3,1,26.0
54,5052659,F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,-0.15452054794520548,IT staff,2,1,28.0
55,5052661,F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,-0.15452054794520548,IT staff,2,1,28.0
56,5052877,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-0.9221917808219178,Drivers,2,1,49.0
57,5052879,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-0.9221917808219178,Drivers,2,1,49.0
58,5052882,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-0.9221917808219178,Drivers,2,1,49.0
59,5053254,F,Y,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-0.5890410958904109,Managers,2,1,51.0
60,5054063,M,N,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-0.3994520547945205,Drivers,3,1,44.0
61,5054068,M,N,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-0.3994520547945205,Drivers,1,1,44.0
62,5054524,F,N,N,2,180000.0,Working,Secondary / secondary special,Married,House / apartment,-2.292876712328767,Unknown,4,1,45.0
63,5054525,F,N,N,2,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-2.292876712328767,Unknown,4,1,45.0
64,5058345,F,N,Y,0,99000.0,Pensioner,Higher education,Separated,House / apartment,0.0,Unknown,1,1,67.0
65,5058348,F,N,Y,0,166500.0,Pensioner,Higher education,Separated,House / apartment,0.0,Unknown,1,1,67.0
66,5058350,M,N,Y,0,99000.0,Pensioner,Higher education,Separated,House / apartment,0.0,Unknown,1,1,67.0
67,5058352,F,N,Y,0,99000.0,Pensioner,Higher education,Separated,House / apartment,0.0,Unknown,1,1,67.0
68,5058530,M,N,N,0,391500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,-0.13917808219178082,Sales staff,1,1,25.0
69,5058531,M,N,N,0,391500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,-0.13917808219178082,Sales staff,1,1,25.0
70,5058532,M,N,N,0,391500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,-0.13917808219178082,Sales staff,1,1,42.0
71,5061360,M,N,Y,0,65250.0,Pensioner,Higher education,Married,House / apartment,0.0,Unknown,2,1,57.0
72,5061396,M,N,Y,0,72900.0,Pensioner,Lower secondary,Married,House / apartment,0.0,Unknown,2,1,64.0
73,5061636,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,0.0,Unknown,2,1,59.0
74,5061691,F,N,Y,1,67500.0,Commercial associate,Higher education,Married,House / apartment,-0.4293150684931507,Waiters/barmen staff,3,1,24.0
75,5062136,M,N,N,1,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-0.03753424657534247,Laborers,2,1,35.0
76,5062137,M,N,Y,1,166500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-0.03753424657534247,Laborers,2,1,35.0
77,5065348,F,Y,Y,0,202500.0,Working,Higher education,Married,House / apartment,-1.0887671232876712,High skill tech staff,2,1,41.0
78,5065462,F,N,N,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-0.4301369863013699,Unknown,2,1,52.0
79,5065518,F,Y,N,1,202500.0,Working,Higher education,Married,Rented apartment,-0.7884931506849315,Laborers,3,1,26.0
80,5068389,F,Y,Y,1,270000.0,Working,Higher education,Separated,House / apartment,-0.03835616438356164,Sales staff,2,1,38.0
81,5068456,F,Y,N,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-0.7057534246575343,Unknown,2,1,37.0
82,5068651,F,Y,Y,0,360000.0,State servant,Higher education,Separated,House / apartment,-0.5219178082191781,Core staff,1,1,52.0
83,5069216,F,Y,Y,0,256500.0,Commercial associate,Higher education,Married,House / apartment,-0.47232876712328764,Accountants,2,1,30.0
84,5069218,F,Y,Y,0,256500.0,Commercial associate,Higher education,Single / not married,House / apartment,-0.47232876712328764,Accountants,2,1,30.0
85,5069307,M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-0.36383561643835616,Core staff,2,1,42.0
86,5078820,F,N,N,2,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-1.3663013698630135,High skill tech staff,4,1,39.0
87,5078945,F,N,Y,2,180000.0,Working,Incomplete higher,Separated,House / apartment,-0.9578082191780822,Unknown,3,1,33.0
88,5078946,F,N,Y,2,180000.0,Working,Incomplete higher,Separated,House / apartment,-0.9578082191780822,Unknown,3,1,33.0
89,5079166,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,-0.3819178082191781,Laborers,2,1,37.0
90,5079167,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,-0.3819178082191781,Laborers,2,1,37.0
91,5079168,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,-0.3819178082191781,Laborers,2,1,37.0
92,5085886,M,Y,Y,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-0.34657534246575344,Managers,2,1,51.0
93,5089162,F,Y,N,0,225000.0,Working,Higher education,Married,House / apartment,-0.6934246575342466,Accountants,2,1,55.0
94,5089959,M,N,Y,1,126000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-0.5767123287671233,Unknown,3,1,34.0
95,5090166,F,N,Y,1,675000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-0.2356164383561644,Security staff,2,1,42.0
96,5090214,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-0.05945205479452055,Laborers,2,1,29.0
97,5090216,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-0.05945205479452055,Laborers,2,1,29.0
98,5092087,M,Y,Y,2,247500.0,Working,Secondary / secondary special,Married,House / apartment,-0.14657534246575343,Laborers,4,1,47.0
99,5092245,F,N,N,0,103500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0.0,Unknown,2,1,60.0
100,5092479,M,N,N,1,85500.0,State servant,Secondary / secondary special,Married,Municipal apartment,-1.881095890410959,Core staff,3,1,41.0
101,5096527,F,N,N,0,135000.0,Working,Secondary / secondary special,Widow,Co-op apartment,-0.16,Core staff,1,1,54.0
102,5096528,F,N,N,0,135000.0,Working,Secondary / secondary special,Widow,Co-op apartment,-0.16,Core staff,1,1,54.0
103,5096743,F,N,Y,0,180000.0,Working,Lower secondary,Widow,House / apartment,-0.6101369863013699,Cleaning staff,1,1,46.0
104,5097065,F,N,Y,0,121500.0,Working,Secondary / secondary special,Married,House / apartment,-2.235890410958904,Managers,2,1,51.0
105,5100430,M,Y,N,0,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-0.16794520547945208,Laborers,1,1,44.0
106,5105045,M,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0.0,Unknown,1,1,62.0
107,5105056,M,Y,N,0,166500.0,Commercial associate,Higher education,Single / not married,Municipal apartment,-0.166027397260274,High skill tech staff,1,1,31.0
108,5106077,F,N,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-1.9024657534246576,Medicine staff,2,1,54.0
109,5113621,M,N,N,0,225000.0,Working,Secondary / secondary special,Widow,Municipal apartment,-0.09479452054794521,Security staff,1,1,53.0
110,5113933,F,N,N,0,67500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0.0,Unknown,1,1,63.0
111,5113944,F,Y,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0.0,Unknown,2,1,63.0
112,5114249,M,N,N,1,130500.0,Working,Incomplete higher,Married,Rented apartment,-0.49534246575342467,Unknown,3,1,31.0
113,5114253,M,N,N,1,130500.0,Working,Incomplete higher,Married,Rented apartment,-0.49534246575342467,Unknown,3,1,31.0
114,5115604,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-0.936986301369863,Core staff,2,1,39.0
115,5115606,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-0.936986301369863,Core staff,2,1,39.0
116,5115608,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-0.936986301369863,Core staff,2,1,39.0
117,5115610,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-0.936986301369863,Core staff,2,1,39.0
118,5115611,F,N,Y,0,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-0.936986301369863,Core staff,2,1,39.0
119,5116035,M,Y,Y,0,126000.0,Working,Higher education,Single / not married,House / apartment,-0.23643835616438355,Managers,1,1,39.0
120,5116036,M,Y,Y,0,126000.0,Working,Higher education,Single / not married,House / apartment,-0.23643835616438355,Managers,1,1,39.0
121,5116258,F,N,Y,4,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-2.030958904109589,Core staff,6,1,47.0
122,5116301,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0.0,Unknown,2,1,62.0
123,5116302,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0.0,Unknown,2,1,62.0
124,5116304,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0.0,Unknown,2,1,62.0
125,5116305,F,N,Y,0,166500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0.0,Unknown,2,1,62.0
126,5116906,M,Y,Y,0,211500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-2.0693150684931507,Core staff,2,1,41.0
127,5117313,F,N,Y,1,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-1.076986301369863,Laborers,3,1,35.0
128,5117413,F,N,N,0,81000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,0.0,Unknown,1,1,61.0
129,5118046,F,N,N,0,81000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0.0,Unknown,1,1,65.0
130,5118275,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,0.0,Unknown,2,1,58.0
131,5118278,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,0.0,Unknown,2,1,58.0
132,5118279,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,0.0,Unknown,2,1,58.0
133,5118280,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Single / not married,Municipal apartment,0.0,Unknown,2,1,58.0
134,5118283,M,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,0.0,Unknown,2,1,58.0
135,5118541,F,N,Y,0,72000.0,Working,Secondary / secondary special,Married,House / apartment,-0.28465753424657536,Laborers,2,1,49.0
136,5125289,F,N,N,1,202500.0,Working,Secondary / secondary special,Separated,House / apartment,-0.036712328767123284,Laborers,2,1,38.0
137,5125299,F,N,Y,0,148500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0.0,Unknown,2,1,57.0
138,5125708,F,Y,Y,0,135000.0,Working,Lower secondary,Married,House / apartment,-0.1704109589041096,High skill tech staff,2,1,44.0
139,5125716,F,Y,Y,0,135000.0,Working,Lower secondary,Married,House / apartment,-0.1704109589041096,High skill tech staff,2,1,44.0
140,5125761,M,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,-0.43698630136986305,Cooking staff,1,1,49.0
141,5125763,M,Y,N,1,135000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-0.4454794520547945,Laborers,3,1,35.0
142,5125934,F,N,Y,2,135000.0,Commercial associate,Lower secondary,Civil marriage,With parents,-0.5117808219178082,Sales staff,4,1,27.0
143,5126278,F,N,N,0,162000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0.0,Unknown,2,1,58.0
144,5135344,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,-0.15205479452054796,Security staff,2,1,55.0
145,5135345,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,-0.15205479452054796,Security staff,2,1,55.0
146,5135346,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,-0.15205479452054796,Security staff,2,1,55.0
147,5135485,F,N,Y,0,135000.0,State servant,Higher education,Single / not married,Municipal apartment,-0.5301369863013699,Core staff,1,1,29.0
148,5135487,F,N,Y,0,135000.0,State servant,Higher education,Single / not married,Municipal apartment,-0.5301369863013699,Core staff,1,1,29.0
149,5135636,M,Y,Y,0,195750.0,Working,Secondary / secondary special,Married,House / apartment,-0.2550684931506849,Laborers,2,1,51.0
150,5135990,F,N,Y,1,585000.0,Commercial associate,Higher education,Single / not married,House / apartment,-0.24657534246575344,Managers,2,1,28.0
151,5135991,F,N,Y,1,585000.0,Commercial associate,Higher education,Single / not married,House / apartment,-0.24657534246575344,Managers,2,1,28.0
152,5142183,M,Y,Y,2,166500.0,Commercial associate,Higher education,Married,House / apartment,-1.1794520547945206,Managers,4,1,48.0
153,5142184,M,Y,Y,2,450000.0,Commercial associate,Higher education,Married,House / apartment,-1.1794520547945206,Managers,4,1,48.0
154,5142185,M,Y,Y,2,450000.0,Commercial associate,Higher education,Married,House / apartment,-1.1794520547945206,Managers,4,1,48.0
155,5142361,M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,-0.2534246575342466,Drivers,3,1,44.0
156,5142362,M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,-0.2534246575342466,Drivers,3,1,44.0
157,5142456,F,N,N,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,-0.1367123287671233,Core staff,1,1,51.0
158,5142458,F,N,Y,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,-0.1367123287671233,Core staff,1,1,51.0
159,5142459,F,N,Y,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,-0.1367123287671233,Core staff,1,1,51.0
160,5143342,M,N,N,1,216000.0,Working,Secondary / secondary special,Married,Municipal apartment,-0.6624657534246575,Laborers,3,1,35.0
161,5145690,F,N,Y,0,306000.0,Pensioner,Higher education,Married,House / apartment,0.0,Unknown,2,1,59.0
162,5145817,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0.0,Unknown,2,1,60.0
163,5146005,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-0.051780821917808216,Managers,1,1,27.0
164,5146079,F,N,Y,1,108000.0,Working,Secondary / secondary special,Married,House / apartment,-0.3101369863013699,Sales staff,3,1,34.0
165,5146167,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-0.4849315068493151,Security staff,2,1,55.0
166,5146444,F,N,Y,0,135000.0,Working,Secondary / secondary special,Widow,House / apartment,-0.25178082191780826,Managers,1,1,39.0
167,5148932,M,Y,N,0,108000.0,Working,Secondary / secondary special,Married,Office apartment,-0.2961643835616438,Security staff,2,1,47.0
168,5148934,M,Y,N,0,108000.0,Working,Secondary / secondary special,Married,Office apartment,-0.2961643835616438,Security staff,2,1,47.0
169,5149188,M,Y,N,1,450000.0,Working,Higher education,Married,House / apartment,-0.13753424657534247,Core staff,3,1,26.0
170,5149190,M,Y,N,1,450000.0,Working,Higher education,Married,House / apartment,-0.13753424657534247,Core staff,3,1,26.0
171,5149192,F,Y,N,1,450000.0,Working,Higher education,Married,House / apartment,-0.13753424657534247,Core staff,3,1,26.0
172,5149828,M,Y,Y,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,-0.6630136986301369,Managers,2,1,47.0
173,5149834,F,N,Y,0,157500.0,Commercial associate,Higher education,Married,House / apartment,-0.363013698630137,Medicine staff,2,1,33.0
174,5149838,F,N,Y,0,157500.0,Pensioner,Higher education,Married,House / apartment,-0.363013698630137,Medicine staff,2,1,33.0
175,5118538,F,N,Y,1,81000.0,Working,Secondary / secondary special,Married,Municipal apartment,-1.7443835616438357,Cleaning staff,3,0,43.0
176,5069057,M,Y,N,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-0.6805479452054795,Laborers,2,0,48.0
177,5066689,F,N,Y,0,180000.0,Commercial associate,Higher education,Civil marriage,House / apartment,-0.09342465753424659,Sales staff,2,0,35.0
178,5086062,F,N,Y,0,135000.0,State servant,Secondary / secondary special,Married,House / apartment,-2.5813698630136988,Core staff,2,0,56.0
179,5113717,F,N,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-0.8367123287671232,Private service staff,3,0,44.0
180,5066765,F,N,Y,1,63000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-0.8183561643835617,Sales staff,3,0,39.0
181,5105227,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-0.583013698630137,Laborers,2,0,47.0
182,5054648,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0.0,Unknown,1,0,66.0
183,5067187,F,N,Y,0,112500.0,Working,Higher education,Married,House / apartment,-0.22465753424657536,Core staff,2,0,31.0
184,5105818,F,N,Y,0,45000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0.0,Unknown,2,0,60.0
185,5033574,F,Y,Y,1,166500.0,Working,Secondary / secondary special,Married,House / apartment,-0.03863013698630137,Cooking staff,3,0,38.0
186,5125478,F,N,Y,0,202500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0.0,Unknown,2,0,56.0
187,5046340,M,N,Y,1,180000.0,Working,Lower secondary,Married,House / apartment,-0.46356164383561643,Unknown,3,0,28.0
188,5054058,F,Y,N,1,450000.0,Working,Higher education,Married,House / apartment,-1.2838356164383562,Managers,3,0,41.0
189,5022326,M,Y,Y,0,256500.0,Commercial associate,Higher education,Married,House / apartment,-0.4586301369863014,Core staff,2,0,58.0
190,5065764,F,N,Y,0,90000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-0.18986301369863015,Unknown,1,0,40.0
191,5067849,F,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-0.15534246575342464,Unknown,1,0,40.0
192,5097169,F,N,N,0,90000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-0.24246575342465754,Sales staff,1,0,29.0
193,5048583,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0.0,Unknown,2,0,59.0
194,5115566,M,N,Y,0,126000.0,Pensioner,Secondary / secondary special,Married,Rented apartment,0.0,Unknown,2,0,45.0
195,5052722,F,N,N,0,126000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0.0,Unknown,2,0,59.0
196,5067723,F,N,Y,1,337500.0,Working,Academic degree,Single / not married,House / apartment,-0.7586301369863013,Unknown,2,0,34.0
197,5056077,M,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-0.42383561643835616,Core staff,2,0,33.0
198,5022275,M,Y,Y,0,131400.0,Pensioner,Secondary / secondary special,Married,House / apartment,0.0,Unknown,2,0,64.0
199,5143016,M,N,N,0,180000.0,Commercial associate,Secondary / secondary special,Civil marriage,Rented apartment,-0.8709589041095891,Laborers,2,0,39.0
200,5066709,F,N,Y,0,247500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0.0,Unknown,1,0,67.0
201,5021445,F,N,Y,0,121500.0,Working,Secondary / secondary special,Married,With parents,-1.4257534246575343,Core staff,2,0,36.0
202,5053592,F,N,Y,1,117000.0,Working,Lower secondary,Widow,House / apartment,-0.8416438356164383,Unknown,2,0,48.0
203,5116163,F,N,Y,2,90000.0,Working,Secondary / secondary special,Married,House / apartment,-0.08767123287671233,Security staff,4,0,27.0
204,5041273,M,N,Y,0,445500.0,Commercial associate,Higher education,Separated,House / apartment,-0.6764383561643836,Unknown,1,0,52.0
205,5066627,M,Y,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-0.15972602739726027,Unknown,2,0,42.0
206,5125399,M,Y,N,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-0.22849315068493153,Laborers,2,0,27.0
207,5067345,F,Y,N,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-0.29726027397260274,Unknown,2,0,45.0
208,5053711,F,Y,N,2,157500.0,Commercial associate,Incomplete higher,Married,House / apartment,-0.3832876712328767,Unknown,4,0,35.0
209,5096234,F,N,N,0,117000.0,Working,Secondary / secondary special,Married,House / apartment,-2.0027397260273974,Medicine staff,2,0,46.0
210,5125158,M,N,Y,1,234000.0,Working,Secondary / secondary special,Married,House / apartment,-0.4789041095890411,Laborers,3,0,32.0
